Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ecuador,ECU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6215.83809210677,6130.58667556768,5965.64327318051,6012.80331742787,5976.24534526558,5863.91056629908,5331.97661096757,5492.48927051545,5590.54163412359,..
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11778.0213298617,11158.8373385162,11178.3689460441,11818.2305869101,12220.5817280635,12600.0198500808,11909.8310172019,13293.0871517821,14483.0341662111,..
Ecuador,ECU,Government Effectiveness: Estimate,GE.EST,-0.384382158517838,-0.394115418195724,-0.383266448974609,-0.352241843938828,-0.317857921123505,-0.367639988660812,-0.47004047036171,-0.240734726190567,-0.308546245098114,..
El Salvador,SLV,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.515521049087326,3.58767964859467,2.08865668906061,-0.0494209265152818,0.146558705160274,3.89839894247719,-10.1459073891759,5.18650183331071,..,..
El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.0616269261132,1.12301811600134,1.13992298228465,1.01248608906763,1.09058747913992,1.25994054027114,1.01328024350636,..,..,..
El Salvador,SLV,Control of Corruption: Estimate,CC.EST,-0.374780744314194,-0.44723653793335,-0.555807173252106,-0.533897817134857,-0.586034774780273,-0.537628948688507,-0.577217638492584,-0.553035497665405,-0.642081201076508,..
El Salvador,SLV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3686.09556191783,3761.51368000275,3845.02249284043,3922.77686170493,4011.53997873836,4103.82450080287,3775.57609048989,4183.25929769164,4276.95524469353,..
El Salvador,SLV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7447.4337629305,7873.39741623976,8388.36904651054,8889.22278795422,9120.85802979391,9666.8020788687,9309.34999118384,10860.247882807,11885.2601710447,..
El Salvador,SLV,Government Effectiveness: Estimate,GE.EST,-0.0243250951170921,-0.285884112119675,-0.343549311161041,-0.387264579534531,-0.490081697702408,-0.531054139137268,-0.260907888412476,-0.340914160013199,-0.320332825183868,..
Guatemala,GTM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.51329649424341,5.08757435597079,0.947895170286188,1.16223965495783,2.28133308708398,4.22282903555389,-5.52459406945842,2.19825571461823,..,..
